"Reference","Value","Do Not Place","Exclude from BOM","Exclude from Board","Exclude from Simulation","MANUFACTURER_PART_NUMBER","Qty"
"D2","XL-1005UBC","","","","","XL-1005UBC","1"
"R7","3.6k","","","","","WR02X362JAL","1"
"R17,R18,R28,R35,R63,R64,R71","2.2k","","","","","WR02X222JAL","7"
"J2,J3,J4,J5","WJ126V-5.0-2P","","","","","WJ126V-5.0-2P","4"
"IC3","W25Q16JVUXIQ","","","","","W25Q16JVUXIQ","1"
"U12","TMUX1574DYYR","","","","","TMUX1574DYYR","1"
"U2","TLV803SDBZR","","","","","TLV803SDBZR","1"
"C20,C28,C33,C36,C49,C54,C66,C74,C85,C88,C91","1uF","","","","","TCC0402X5R105M6R3AT","11"
"C18,C19,C47,C48,C72,C73","30pF","","","","","TCC0201COG300J500ZT","6"
"IC2","SL2.1s","","","","","SL2.1S","1"
"S1","SKRPACE010","","","","","SKRPACE010","1"
"U1","RT5752BHGJ5","","","","","RT5752BHGJ5","1"
"U3,U6,U10","RQ12000160","","","","","RQ12000160","3"
"U5","RP2040","","","","","RP2040","1"
"R62,R70","100","","","","","RC0201JR-07100RL","2"
"R3,R13,R24,R25,R29,R48,R49,R50,R51,R53,R55,R56,R58,R60","10k","DNP","","","","RC0201FR-0710KL","14"
"R16,R21,R30,R34,R37,R41,R42,R45","1M","","","","","RC0201FR-071ML","8"
"R6","1k","","","","","RC0201FR-071KL","1"
"R9,R14,R15,R22,R32,R46,R47,R59,R61","30","","","","","RC-01W30R0FT","9"
"R19,R20,R31,R33,R38,R39,R40,R43,R44,R67,R68,R69,R72,R73,R74,R75","240","","","","","RC-01W241JT","16"
"R4","100k","","","","","RC-01W104JT","1"
"J13","PH-2A","","","","","PH-2A","1"
"IC5","MTS4P","","","","","MTS4P","1"
"IC1","MT9700","","","","","MT9700","1"
"D1","LESD5D5-0CT1G","","","","","LESD5D5.0CT1G-ES","1"
"IC4","LCMXO2-1200HC-4SG32I","","","","","LCMXO2-1200HC-4SG32I","1"
"C3,C4,C5","22uF","","","","","HGC0603R5226M100NTHJ","3"
"C2,C7,C15,C16,C17,C68","10uF","","","","","HGC0402R5106M100NTEJ","6"
"L1,L2,L4,L5,L6,L7,L8,L9","HCB1005KF-121T20","","","","","HCB1005KF-121T20","8"
"J1","GT-USB-7010ASV","","","","","GT-USB-7010ASV","1"
"C1,C6,C8,C9,C10,C11,C12,C13,C14,C21,C22,C23,C24,C25,C26,C27,C29,C30,C31,C34,C35,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C50,C51,C53,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C67,C69,C70,C71,C75,C76,C77,C78,C80,C81,C82,C83,C84,C86,C87,C89,C90,C92,C93","0.1uF","","","","","GRM033R61E104KE14D","64"
"L3","1.5uH","","","","","FTC252012S1R5MBCA","1"
"U8","FT2232HL","","","","","FT2232HL","1"
"SW1","DSWB02LHGETB","","","","","DSWB02LHGETB","1"
"U4,U7","ADS1115IDGSR","","","","","ADS1115IDGSR","2"
"U9","93LC56BT-I","","","","","93LC56BT-I","1"
"J12","1.0-3PWB","","","","","1.0-3PWB","1"
"R10,R11","5.1k","","","","","0201WMF5101TEE","2"
"R2,R5,R26,R27,R36","4.7k","","","","","0201WMF4701TEE","5"
"R8","22k","","","","","0201WMF2202TEE","1"
"R52","12k","","","","","0201WMF1202TEE","1"
"R65","0","","","","","0201WMF0000TEE","1"
"C32,C52","0.01uF","","","","","0201B103K250NT","2"
"TP3,TP9,TP10,TP12","TestPoint","","","","","","4"
"J10","Conn_01x04","","","","","","1"
"J6,J7,J8,J9,J11","Conn_02x03_Odd_Even","","","","","","5"
